cpt_code,cpt_name
37227,HCPF FEM/POPL REVASC STNT/ ATH
37228,HCPF TIB/PER REVASC W/TLA
37229,HCPF TIB/PER REVASC W/ATHER
37230,HCPF TIB/PER REVASC W/STENT
37231,HCPF TIB/PER REVASC STENT/ATHE
37232,HCPF TIB/PER REVASC ADD-ON
37233,HCPF TIBPER REVASC W/ATHER ADD
37234,HCPF REVS OPN/PRQ TIB/PER STNT
37235,HB TIB/PER REVASC STNT & ATHER
37236,HCPF OPEN/PERQ PLACE STENT 1ST ART
37237,HCPF OPEN/PERQ PLACE STENT ADD ART
37238,HCPF OPEN/PERQ PLACE STENT 1ST VEIN
37239,HCPF OPEN/PERQ PLACE STENT EA ADD VEIN
37241,HCPF VASC EMBOLIZE/OCCLUDE VENOUS
37242,HCPF VASC EMBOLIZE/OCCLUDE ARTERY
37243,HCPF VASC EMBOLIZE/OCCLUDE ORGAN
37244,HCPF VASC EMBOLIZE/OCCLUDE BLEED
37246,HB TRANSLUMINAL BALLOON ANGIOPLASTY INITIAL ARTERY
37247,HB TRANSLUMINAL BALLOON ANGIOPLASTY EACH ADDL ARTERY
37248,HCPF TRANSLUMINAL BALLOON ANGIOPLAST INT VEIN
37249,HB TRANSLUMINAL BALLOON ANGIOPLASTY EACH ADDL VEIN
37250,IV US FIRST VESSEL ADD-ON
37251,IV US EACH ADD VESSEL ADD-ON
37252,HB INTRVASC US NONCORONARY 1ST
37253,HB INTRVASC US NONCORONARY ADDL
3725F,PR SCREENING FOR DEPRESSION PERFORMED
37317,NMCT PELVIS WWO INF
37500,ENDOSCOPIC SUBFASCIAL PERFORATOR SURGERY
37501,PR UNLISTED VASCULAR ENDOSCOPY PROC
3750F,PR PT NOT RCVNG CORTICOSTERIDS>/=10MG/DAY 60/> DAYS
3751F,PR ELECTRODIAG STUDIES DSP DOCD RVWD W/IN 6 MONTHS
3752F,PR ELECTRODIAG STUDIES DSP NOT DOCD RVWD W/IN 6 MON
3753F,PR PT HAS CLINICAL SYMP+SIGNS NEUROPATHY W/CAUSE
3754F,PR SCREENING TSTS DIABETES MELLITUS RVWD RQSTD ORD
3755F,PR COGNITIVE+BEHAVIORAL IMPAIRMENT SCRNG PERFORMED
37565,LIGATION OF NECK VEIN
3756F,PR PT HAS PSEUDOBULBAR AFFECT/SIALORRHEA/ALS SYMP
3757F,PR NO PSEUDOBULBAR AFFECT/SIALORRHEA/ALS SYMP
3758F,PR PULM FUNC TESTING/PEAK COUGH EXPIRATORY FLOW
3759F,PR PT SCRND DYSPHAGIA+WT LOSS+IMPAIRED NUTRITION
37600,LIGATION OF NECK ARTERY
37605,LIGATION OF NECK ARTERY
37606,Lig int/common carotid art w/gradual occlusion
37607,LIGATION OF A-V FISTULA
37609,PR TEMPORAL ARTERY LIGATN OR BX
3760F,PR DYSPHAG+WT LOSS+IMPAIRED NUTRITION
37615,Lig major art nck; (-78 Unplanned return to OR relat proc PO)
37616,LIGATION OF CHEST ARTERY
37617,LIGATION OF ABDOMEN ARTERY
37618,LIGATION OF EXTREMITY ARTERY
37619,CHEST ARTERY/VEIN LIGATION
3761F,PR NO DYSPHAG+WT LOSS+IMPAIRED NUTRITION
37620,"INTERRUPTION, INFERIOR VENA CAVA"
3762F,PR PATIENT IS DYSARTHRIC
3763F,PR PATIENT IS NOT DYSARTHRIC
37650,"LIGATION, FEMORAL VEIN"
37660,ILIAC VEIN LIGATION
37700,PR LIGATN LONG SAPHENOUS VEIN AT SEPH-FEM JUNC
37718,LIGATE/STRIP SHORT LEG VEIN
37720,PR LIGATN/STRIP LONG OR SHORT SAPHEN
37722,LIGATE/STRIP LONG LEG VEIN
37730,PR LIGATN/STRIP LONG & SHORT SAPHEN
37735,PR REMOVAL OF LEG VEINS/ULCER
3775F,PR ADENOMA(S)/NEOPLASM DETECTED SCRNG CLNSCPY
37760,LEG VEIN LIGATION PERFORATOR SUBFASCIAL RADICAL SKIN GRAFT
37761,LEG VEIN LIGATION PERFORATOR SUBFASCIAL ULTRASOUND
37765,PR PHLEB VEINS - EXTREM - TO 20
37766,PR PHLEB VEINS - EXTREM 20+
3776F,PR ADENOMA(S)/NEOPLASM NOT DETECTED SCRNG CLNSCPY
37780,Ligj and div short saph vein saphenopop junct spx; (-LT Left side of body)
37785,+REVISE SECONDARY VARICOSITY; (-50 Bilateral procedure)
37788,PENILE REVASCULARIZATION
37790,PENILE VENOUS OCCLUSION
37799,PR VASCULAR SURGERY PROCEDURE UNLIST
37999,PR WAVELINQ DEVICE PERCUTANEOUS AV FISTULA CREATION
38100,"PR REMOVAL SPLEEN, TOTAL"
38101,"PR REMOVAL SPLEEN, PARTIAL"
38102,"PR REMOVAL SPLEEN, TOTAL W OTHR PROC"
38115,PR REPAIR OF RUPTURED SPLEEN
38120,"LAPAROSCOPY, SPLENECTOMY"
38129,"LAPAROSCOPE PROC, SPLEEN"
38200,INJECTION FOR SPLEEN X-RAY
38204,BL DONOR SEARCH MANAGEMENT
38205,H- STEM CELL COLLECTION-ALLOGENEIC
38206,Bld-drv hematop progen cell hrvg trnsplj autol
38207,CRYOPRESERVE STEM CELLS
38208,PR TRNSPL PREP HEMATOP PROGEN THAW PREV HRV PER DNR
38209,HB - BAXTER CD34 INJECTION
38210,HB - CELL SELECTION LARGE
38211,"PR TRANS PREP CELLS,TUMOR CELL DEPLETE"
38212,HB - SALVAGE RBC MARROW-LC
38213,PLATELET DEPLETE OF HARVEST
38214,HB - OXYGEN THERAPY 0-8HRS
38215,HARVEST STEM CELL CONCENTRTE
38220,PR DIAGNOSTIC BONE MARROW ASPIRATIONS
38221,PR DIAGNOSTIC BONE MARROW BIOPSIES
38222,HCPF DX BONE MARROW BX & ASPIR
38230,BONE MARROW COLLECTION
38231,STEM CELL COLLECTION
38232,BONE MARROW HARVEST
38240,BONE MARROW/STEM TRANSPLANT
38241,BONE MARROW/STEM TRANSPLANT
38242,LYMPHOCYTE INFUSE TRANSPLANT
38243,PR TRNSPLJ HEMATOPOIETIC CELL BOOST
38300,"DRAINAGE, LYMPH NODE LESION"
38305,"DRAINAGE, LYMPH NODE LESION"
38308,INCISION OF LYMPH CHANNELS
38380,"PR LIGATN THOR DUCT,CERV APPROACH"
38381,"PR LIGATN THOR DUCT,THOR APPROACH"
38382,"PR LIGATN THOR DUCT,ABD APPROACH"
38500,"BIOPSY/REMOVAL, LYMPH NODES, S"
38505,IR BX LYMPHNODE
38510,"BIOPSY/REMOVAL, LYMPH NODES"
38520,"BIOPSY/REMOVAL, LYMPH NODES"
38525,"BIOPSY/REMOVAL, LYMPH NODES"
38530,"BIOPSY/REMOVAL, LYMPH NODES"
38531,PR OPEN BIOPSY/EXCISION INGUINOFEMORAL NODES
38542,"EXPLORE DEEP NODE(S), NECK"
38550,PR REMOVAL CYST HYGROMA
38555,PR REMOVAL CYST HYGROMA NEUROVASC DISS
38562,"PR REMOVAL, PELVIC LYMPH NODES,STAGING"
38564,"PR REMOVAL, ABDOMEN LYMPH NODE,STAGING"
38570,"LAPAROSCOPY, SURGICAL; W/ RETROPERITONEAL LYMPH NO"
38571,"LAPAROSCOPY, SURGICAL; W/ BILATERAL TOTAL PELVIC L"
38572,"LAPAROSCOPY, SURGICAL; W/ BILATERAL TOTAL PELVIC L"
38573,PR LAPS W/BI TOT PEL LMPHADEC & OMNTC LYMPH BX
38589,"LAPAROSCOPE PROC, LYMPHATIC"
38700,"PR REMOVAL NODES, NECK,SUPRAHYOID"
38720,Cervical lymphadenectomy; (-RT Right side of body)
38724,"PR REMOVAL NODES, NECK,CERV MOD RAD"
38740,+REMOVE ARMPIT LYMPH NODES; (-LT Left side of body)
38745,PR REMOVE ARMPITS LYMPH NODES COMPLT
38746,PR REMOVE THOR LYMPH NODES RAD REGNL
38747,PR REMOVE ABD LYMPH NODES RAD REGNL
38760,PR REMOVE GROIN LYMPH NODES SUPERF
38765,"INGUINOFEMORAL LYMPHADENECTOMY, SUPERFICIAL, IN CO"
38770,"PELVIC LYMPHADENECTOMY, INCLUDING EXTERNAL ILIAC,"
38780,PR REMOVE ABD LYMPH NODES EXTENSIVE
38790,INJECT FOR LYMPHATIC X-RAY
38792,IDENTIFY SENTINEL NODE
38794,ACCESS THORACIC LYMPH DUCT
38900,IO MAP OF SENT LYMPH NODE
38999,BLOOD/LYMPH SYSTEM PROCEDURE
39000,EXPLORATION OF CHEST
39010,EXPLORATION OF CHEST
39200,PR RESECTION OF MEDIASTINAL CYST
39220,PR RESECTION MEDIASTINAL TUMOR
39400,PR MEDIASTINOSCOPY
39401,PR MEDIASTINOSCOPY INCLUDES MEDIASTINAL MASS BIOPSY
39402,PR MEDIASTINOSCOPY WITH LYMPH NODE BIOPSY/IES
39499,CHEST PROCEDURE
39501,PR REPAIR DIAPHRAGM LACERATION
39502,PR REPAIR PARAESOPHAGEAL HERNIA
39503,DIAPHRAGMATIC HERNIA REPAIR - PEDIATRIC
39520,"PR REPAIR DIAPHR HERNIA,TRANSTHOR"
39530,"PR REPAIR DIAPHR HERNIA,THOR/ABD"
39531,PR REPAIR DIAPHR HERNIA THOR/ABD W DIL
39540,PR REPAIR DIAPHR HERNIA TRAUMA ACUTE
39541,PR REPAIR DIAPHR HERNIA TRAUMA CHR
39545,PR REVISION OF DIAPHRAGM
39560,"PR RESECT DIAPHRAM,SIMPLE REPAIR"
39561,"PR RESECT DIAPHRAM,COMPLX REPR"
39599,DIAPHRAGM SURGERY PROCEDURE
4000F,PR TOBACCO USE TXMNT COUNSELING
4001F,"PR TOBACCO USE TXMNT, PHARMACOL"
4002F,"PR STATIN THERAPY, RX"
4003F,"PR PT ED WRITE/ORAL, PTS W/ HEART FAILURE"
4004F,PR PT SCRND TOBACCO USE RCVD TOBACCO CESSATION TALK
4005F,PHARM THX FOR OP RX'D
4006F,"BETA-BLOCKER THERAPY, RX"
4007F,AREDS/ANITOX VIT/MIN RX'D
4008F,BETA BLOCKER THERAPY RXD/CURRENTLY BEING TAKEN
4009F,"ACE INHIBITOR THERAPY, RX"
40108,"FEM EXAM (AMINES,NITRATES)"
4010F,ACE INHIBITOR/ARB THERAPY RXD/CURRENTLY TAKEN
4011F,"ORAL ANTIPLATELET TX, RX"
4012F,PR WARFARIN THERAPY RX
4013F,PR STATIN THERAPY RXD/CURRENTLY TAKEN
4014F,PR WRITTEN DISCHARGE INSTR PROVIDED
4015F,PERSIST ASTHMA CONTROL MEDICATION RX
4016F,ANTI-INFLM/ANLGSC AGENT RX
4017F,GI PROPHYLAXIS FOR NSAID RX
4018F,PR THERAPEUTIC EXERCISE RX
4019F,DOC RECPT COUNSL VIT D/CALC+
4025F,INHALED BRONCHODILATOR PRESCRIBED
4030F,LONG TERM OXYGEN THERAPY PRESCRIBED
4033F,PR PULMONARY REHAB EXERCISE TRAINING RECOMMENDED
4035F,INFLUENZA IMM REC
4037F,INFLUENZA IMM ORDER/ADMIN
4040F,PNEUMOC IMM ORDER/ADMIN
4041F,DOC ORDER CEFAZOLIN/CEFUROX
4042F,DOC ANTIBIO NOT GIVEN
4043F,DOC ORDER GIVEN STOP ANTIBIO
4044F,DOC ORDER GIVEN VTE PROPHYLX
4045F,APPROPRIATE EMPIRIC ANTIBIOTIC PRESCRIBED
4046F,DOC ANTIBIO GIVEN B/4 SURG
4047F,DOC ANTIBIO GIVEN B/4 SURG
4048F,DOC ANTIBIO GIVEN B/4 SURG
40490,BIOPSY OF LIP
4049F,DOC ORDER GIVEN STOP ANTIBIO
40500,LIP SHAVE/VERMILIONECTOMY MUCOSAL ADVANCEMENT
4050F,HT CARE PLAN DOC
40510,PARTIAL EXCISION OF LIP
4051F,PR REFERRED FOR AN AV FISTULA
40520,PARTIAL EXCISION OF LIP
40525,Exc lip full thkns rcnstj w/local flap
40527,"PR FULL THICK EXCIS LIP,FIX W XFLAP"
4052F,HEMODIALYSIS VIA AV FISTULA
40530,PARTIAL REMOVAL OF LIP
4053F,HEMODIALYSIS VIA AV GRAFT
4054F,HEMODIALYSIS VIA CATHETER
4055F,PR PATIENT RECEIVING PERITONEAL DIALYSIS
4056F,APPROP ORAL REHYD RECOMM'D
4058F,"PED GASTRO ED GIVEN, CAREGVR"
4060F,PR PSYCHOTHERAPY SERVICES PROVIDED
4062F,PR PATIENT REFERRAL FOR PSYCHOTHERAPY DOCUMENTED
4063F,ANTIDEPRES RXTHXPY NOT RXD
4064F,ANTIDEPRESSANT RX
40650,"PR REPAIR LIP,FULL THICK,VERMILION"
40652,"PR REPAIR LIP,<1/2 VERT HEIGHT"
40654,"PR REPAIR LIP,>1/2 VERT HEIGHT"
4065F,ANTIPSYCHOTIC RX
4066F,ECT PROVIDED
4067F,PR PT REFERRAL ECT DOCUMENTED
4069F,PR VENOUS THROMBOEMBOLISM (VTE) PROPHYLAXIS RCVD
40700,CLEFT LIP REPAIR OR REVISION
40701,"PR RECLEFT LIP,BILAT,1 STAGE"
40702,"PR RECLEFT LIP,BILAT,1OF2 STAGE"
4070F,DVT PROPHYLX RECV'D DAY 2
40720,"PR RECLEFT LIP/NASAL,SECONDARY"
4073F,ORAL ANTIPLAT THX RX DISCHRG
4075F,ANTICOAG THX RX AT DISCHRG
40761,CLEFT LIP/NASAL REPAIR CROSS LIP PEDICLE FLAP ABBE-ESTLANDER PED
4077F,DOC T-PA ADMIN CONSIDERED
40799,LIP SURGERY PROCEDURE
4079F,DOC REHAB SVCS CONSIDERED
40800,DRAINAGE OF MOUTH LESION
40801,DRAINAGE OF MOUTH LESION
40804,"PR REMOVAL FOREIGN BODY,MOUTH,SIMPLE"
40805,MOUTH FOREIGN BODY REMOVAL
40806,INCISION OF LIP FOLD
40808,BIOPSY OF MOUTH LESION
40810,EXCISION OF MOUTH LESION
40812,EXCISE/REPAIR MOUTH LESION
40814,EXCISE/REPAIR MOUTH LESION
40816,EXCISION OF MOUTH LESION
40818,Exc mucosa vestibule mouth as don grf
40819,Exc frenum labial/buccal
40820,PR DESTRUC MOUTH LESION/SCAR
40830,"PR REPAIR MOUTH LACERATION,<2.5 CM"
40831,Closure laceration vestibule mouth > 2.5 cm/cpl
40840,+RECONSTRUCTION OF MOUTH
40842,"PR RECONSTRUC MOUTH POSTER,UNILAT"
40843,"PR RECONSTRUC MOUTH POSTER,BILAT"
40844,PR RECONSTRUC MOUTH ENTIRE ARCH
40845,PR RECONSTRUC MOUTH COMPLEX
4084F,ASPIRIN RECV'D W/IN 24 HRS
4086F,ASPIRIN OR CLOPIDOGREL PRESCRIBED
40899,MOUTH SURGERY PROCEDURE
4090F,PR PATIENT RECEIVING EPO THERAPY
4095F,PR PATIENT NOT RECEIVING EPO THERAPY
41000,DRAINAGE OF MOUTH LESION
41005,DRAINAGE OF MOUTH LESION
41006,DRAINAGE OF MOUTH LESION
41007,DRAINAGE OF MOUTH LESION
41008,DRAINAGE OF MOUTH LESION
41009,DRAINAGE OF MOUTH LESION
4100F,BIPHOS THXPY VEIN ORD/REC'VD
41010,INCISION OF TONGUE FOLD
41015,DRAINAGE OF MOUTH LESION
41016,DRAINAGE OF MOUTH LESION
41017,DRAINAGE OF MOUTH LESION
41018,DRAINAGE OF MOUTH LESION
41019,PLACE NEEDLES H&N FOR RT
41100,BIOPSY OF TONGUE
41105,BIOPSY OF POSTERIOR TONGUE
41108,BIOPSY OF FLOOR OF MOUTH
4110F,INT MAM ART USED FOR CABG
41110,PR EXCIS TONGUE LESN
41112,EXCISION OF TONGUE LESION ANTERIOR 2/3RDS
41113,Exc les tongue w/clsr posterior one-third
41114,EXCISION OF TONGUE LESION W/ LOCAL TONGUE F
41115,EXCISION OF TONGUE FOLD
41116,EXCISION OF MOUTH LESION
41120,PARTIAL REMOVAL OF TONGUE
41130,PARTIAL REMOVAL OF TONGUE
41135,Glossectomy prtl w/uni radical neck dsj; (-RT Right side of body)
41140,GLOSSECTOMY COMPLETE
41145,GLOSSECTOMY COMPLETE TRACHEOSTOMY RADICAL NECK DISSECTION
41150,"PR EXCIS TONGUE,MOUTH,JAW"
41153,Glssc composit rescj floor suprahyoid nck dsj
41155,GLOSSECTOMY COMPLETE RADICAL NECK DISSECTION TRACHEOSTOMY COMMANDO
4115F,BETA BLCKR ADMIN W/IN 24 HRS
4120F,ANTIBIOT RX'D/GIVEN
4124F,ANTIBIOT NOT RX'D/GIVEN
41250,"PR REPAIR TONGUE LACER,<2.6 CM"
41251,"PR REPAIR TONGUE LACER,POST 1/3"
41252,"PR REPAIR TONGUE LACER,2.6 CM+/COMPLX"
4130F,PR ACUTE OTITIS EXTERNA TOPICAL PREPS PRESCRIBED
4131F,PR SYSTEMIC ANTIMICROBIAL TX PRESCRIBED
4132F,NO SYST ANTIMICROBIAL THX RX
4133F,ANTIHIST/DECONG RX/RECOM
4134F,NO ANTIHIST/DECONG RX/RECOM
4135F,PR SYSTEMIC CORTICOSTEROIDS PRESCRIBED
4136F,PR SYSTEMIC CORTICOSTEROIDS NOT PRESCRIBED
4140F,INHALED CORTICOSTEROIDS PRESCRIBED
4142F,PR CORTICOSTEROID SPARING THERAPY PRESCRIBED
4144F,ALTERNATIVE LONG-TERM CONTROL MEDICATION RXD
4145F,2+ ANTI-HYPERTENSIVE AGENTS RXD OR TAKEN
4148F,HEP A VAC INJXN ADMIN/RECVD
4149F,HEP B VAC INJXN ADMIN/RECVD
41500,FIXATION OF TONGUE
4150F,PR RECEIVING ANTIVIRAL TREATMENT HEPATITIS C
41510,PR TONGUE TO LIP SURGERY
41512,"PR TONGUE BASE SUSPENSION, PERM SUTURE"
4151F,PR NO CURRENT HEPATITIS C ANTIVIRAL TREATMENT
41520,Frenoplasty surg revj frenum eg w/z-plasty
4152F,DOCD PEGINTF/RIB THXY CONSD
41530,PR RADIOFREQUENCY ABLATION TONGUE BASE
4153F,COMBO PEGINTF/RIB RX
4154F,HEP A VAC SERIES RECOMMENDED
4155F,HEP A VAC SERIES PREV RECVD
4156F,HEP B VAC SERIES RECOMMENDED
4157F,HEP B VAC SERIES PREV RECVD
4158F,PR PATIENT COUNSELED ABOUT RISKS ALCOHOL USE
41599,PR TONGUE AND MOUTH SURG UNLISTED
4159F,CONTRCP TALK B/4 ANTIV TXMNT
4163F,PR PATIENT COUNSEL ABOUT 4 TX OPTIONS PRIOR TO PROSTATE CA TX
4164F,ADJV HRMNL THXPY RXD
4165F,3D-CRT/IMRT) RECEIVED
4167F,HD BED TILTED 1ST DAY VENT
4168F,PR PT RECEIVE ICU CARE AND MECH VENT 24 HRS OR LESS
4169F,NO PT CARE ICU/VENT IN 24HRS
4171F,PR PT RECEIVE ERYTHRO STIM AGENT THERAPY
4172F,PR PT NOT RECEIVE ERYTHRO STIM AGENT THERAPY
4174F,COUNS POTENT GLAUC IMPCT
4175F,PR VIS ACUITY 20/40 OR BETTER W/IN 90 DAYS AFTER CATARACT SURG
4176F,PR COUNSEL UV PROTECT/ INEFFEC NUTRIT SUPPLE FOR CATARACTS
4177F,PR COUNSEL BENEFIT/RISK AREDS FOR MAC DEGENERATION
4178F,ANTID GLBLN RCVD W/IN 26WKS
4179F,PR TOMOXIFEN OR AROMATASE INHIBITOR PRESCRIBED
41800,DRAINAGE OF GUM LESION
41805,DENTOALVEOLAR BONE/SOFT TISSUE FOREIGN BODY REMOVAL
41806,"PR REMOVAL FOREIGN BODY,JAWBONE"
4180F,ADJV THXPYRXD/RCVD STG3A-C
4181F,CONFORMAL RADN THXPY RCVD
41820,"EXCISION, GUM, EACH QUADRANT"
41821,EXCISION OF GUM FLAP
41822,Exc fibrous tuberosities dentoalveolar struxs
41823,EXCISION OF GUM LESION
41825,EXCISION OF GUM LESION
41826,EXCISION OF GUM LESION
41827,EXCISION OF GUM LESION
41828,ALVEOLAR HYPERPLASTIC MUCOSA EXCISION
4182F,NO CONFORMAL RADN THXPY
41830,ALVEOLECTOMY
41850,PR TREATMENT OF GUM LESION
4185F,CONTINUOUS PPI OR H2RA RCVD
4186F,NO CONT PPI OR H2RA RCVD
41870,GUM GRAFT
41872,GINGIVOPLASTY
41874,PR REPAIR TOOTH SOCKET
4187F,ANTI RHEUM DRUGTHXPYRXD/GVN
4188F,APPROP ACE/ARB TSTNG DONE
41899,DENTAL EXTRACTION ODENTECTOMY
4189F,APPROP DIGOXIN TSTNG DONE
4190F,APPROP DIURETIC TSTNG DONE
4191F,APPROP ANTICONVULS TSTNG
4192F,PR PATIENT NOT RECEIVING GLUCOCORTICOID
4193F,"PR PT RECEIVE <10MG DAILY PRED, RA WORSENING, OR GLUCOCORT <6 MO"
4194F,PR PT RECEIVE >=10 MG PRED FOR >6 MO AND IMPROVE/NO CHANGE DISEASE
4195F,PR PATIENT RECEIVING FIRST DMAR THERAPY FOR RHEUMATOID ARTHRITIS
4196F,PR PATIENT NOT RECEIVING FIRST DMAR THERAPY FOR RHEUMATOID ARTHRITIS
42000,DRAINAGE MOUTH ROOF LESION
4200F,EXTERNAL BEAM TO PROST ONLY
4201F,EXTRNL BEAM OTHER THAN PROST
42100,BIOPSY ROOF OF MOUTH
42104,"EXCISION LESION, PALATE OR UVULA"
42106,"EXCISION LESION, MOUTH ROOF"
42107,Exc lesion palate uvula w/local flap closure
4210F,ACE/ARB THXPY FOR >= 6 MONS
42120,PR REMOVE PALATE/LESION
42140,EXCISION OF UVULA
42145,PR PALATOPHAYNGOPLASTY
42160,"DESTRUCTION OF LESION, PALATE, OR UVULA"
42180,PALATE REPAIR LACERATION
42182,PR REPAIR PALATE LACER 2+CM OR COMPLX
42200,CLEFT PALATE REPAIR / PHARYNGEAL FLAP WITH BONE GRAFT
42205,+RECONSTRUCT CLEFT PALATE
4220F,DIGOXIN THXPY FOR >= 6 MONS
42210,Palatop clsr alveolar ridge alveolar ridge
42215,CLEFT PALATOPLASTY REVISION PED
4221F,DIURETIC THXPY FOR >= 6 MONS
42220,CLEFT PALATOPLASTY SECONDARY PED
42225,CLEFT PALATE REPAIR / PHARYNGEAL FLAP
42226,LENGTHENING OF PALATE
42227,LENGTHENING OF PALATE
42235,PALATE ANTERIOR REPAIR VOMER FLAP
42260,PR REPAIR NOSE TO LIP FISTULA
42280,PR MAXILL IMPRESSN-PALATE PROSTHESIS
42281,"+INSERTION, PALATE PROSTHESIS"
42299,PALATE/UVULA SURGERY
42300,DRAINAGE OF SALIVARY GLAND
42305,DRAINAGE OF SALIVARY GLAND
4230F,ANTICONV THXPY FOR >= 6 MONS
42310,DRAINAGE OF SALIVARY GLAND
42320,DRAINAGE OF SALIVARY GLAND
42325,CREATE SALIVARY CYST DRAIN
42326,CREATE SALIVARY CYST DRAIN
42330,"PR REMOVAL SALIVARY STONE,UNCOMPLIC"
42335,"PR REMOVAL SUBMAND STONE,COMPLICATED"
42340,PR REMOVAL PAROTID STONE
42400,"BX SALIVARY GLAND, CORE NEEDLE"
42405,BIOPSY OF SALIVARY GLAND
42408,EXCISION OF SALIVARY CYST
42409,DRAINAGE OF SALIVARY CYST
4240F,INSTR XRCZ 4BK PN >12 WEEKS
42410,EXCISE PAROTID GLAND/LESION
42415,EXCISE PAROTID GLAND/LESION
42420,EXCISE PAROTID GLAND/LESION
42425,EXCISE PAROTID GLAND/LESION
42426,EXCISE PAROTID GLAND/LESION
4242F,PR COUNSEL SUPERVISED EXERCISE FOR BACK PAIN >12 WKS
42440,EXCISE SUBMAXILLARY GLAND
42450,EXCISE SUBLINGUAL GLAND
4245F,PR COUNSEL AT INITIAL VISIT TO MAINTAIN NORMAL ACTIVITIES
4248F,PR COUNSEL AT INITIAL VISIT AGAINST BED REST 4 DAY/MORE
42500,PR REPAIR SALIVARY DUCT SIMPLE
42505,Plstc rpr salivary dux sialodochoplasty sec/comp
42507,PAROTID DUCT DIVERSION
42508,PAROTID DUCT DIVERSION
42509,PAROTID DUCT DIVERSION
4250F,PR INTRAOP ACTIVE WARMING FOR NORMOTHERMIA
42510,PAROTID DUCT DIVERSION
42550,INJECTION FOR SALIVARY X-RAY
4255F,ANESTH 60+ MIN AS DOCD
4256F,ANESTHE <60 MIN AS DOCD
42600,CLOSURE OF SALIVARY FISTULA
4260F,PR WOUND SURFACE CULTURE TECHNIQUE USED
4261F,PR TECH OTHER THAN SURFACE CULTURE WOUND EXUDATE USED
42650,DILATION OF SALIVARY DUCT
4265F,PR USE OF WET TO DRY DRESSINGS PRESCRIBED/RECOMMENDED
42660,DILATION OF SALIVARY DUCT
42665,LIGATION OF SALIVARY DUCT
4266F,NO WET-DRY DRSSINGS RX-RECMD
4267F,COMPRSSION THXPY PRESCRIBED
4268F,PR PT ED REGARD NEED LONG TERM COMPRESS THERAPY RECEIVED
42699,BILATERAL PAROTID SIALENDOSCOPY
4269F,APPROPOS MTHD OFFLOADING RXD
42700,"INCISION & DRAINAGE OF ABSCESS,PERITONSILAR"
4270F,PR PT RECEIVING POTENT ANTIRETROVIRAL >= 6 MO
4271F,PR PT RECEIVING POTENT ANTIRETROVIRAL <6 MO/ NOT RECEIVE
42720,DRAINAGE OF THROAT ABSCESS
42725,DRAINAGE OF THROAT ABSCESS
4274F,FLU IMMUNO ADMIND RCVD
4275F,HEP B VAC INJ ADMIN/ RCVD
4276F,POTENT ANTIVIR THXPY RXD
4279F,PCP PROPHYLAXIS RXD
42800,BIOPSY OF THROAT
42802,BIOPSY OF THROAT
42804,BIOPSY OF UPPER NOSE/THROAT
42806,BIOPSY OF UPPER NOSE/THROAT
42808,EXCISE PHARYNX LESION
42809,PR REMOVE PHARYNX FOREIGN BODY
4280F,PCP PROPHYLAX RXD 3MON LOW %
42810,EXCISION OF NECK CYST
42815,EXCISION OF NECK CYST
42820,"PR REMOVE TONSILS/ADENOIDS,<12 Y/O"
42821,"PR REMOVE TONSILS/ADENOIDS,12+ Y/O"
42825,"PR REMOVAL OF TONSILS,<12 Y/O"
42826,"PR REMOVAL OF TONSILS,12+ Y/O"
42830,"PR REMOVAL ADENOIDS,PRIMARY,<12 Y/O"
42831,"PR REMOVAL ADENOIDS,PRIMARY,12+ Y/O"
42835,Adenoidectomy secondary<age 12
42836,Adenoidectomy secondary age 12/>
42842,EXTENSIVE SURGERY OF THROAT
42844,EXTENSIVE SURGERY OF THROAT
42845,EXTENSIVE SURGERY OF THROAT
42860,EXCISION OF TONSIL TAGS
42870,EXCISION OF LINGUAL TONSIL
42880,REMOVAL OF NOSE/THROAT LESION
42890,PARTIAL REMOVAL OF PHARYNX
42892,PHARYNGEAL WALL/PYRIFORM SINUS RESECTION DIRECT CLOSURE
42894,"PR RESEC PHARYN WALL,CLOS MYOCUT FLAP"
42900,PHARYNGEAL WOUND EXPLORATION/LIGATION
4290F,PR PATIENT SCREENED FOR INJECTION DRUG USE
4293F,PR PATIENT SCREENED FOR HIGH-RISK SEXUAL BEHAVIOR
42950,Pharyngoplasty
42953,PHARYNGOESOPHAGEAL REPAIR
42955,PR SURGICAL OPENING OF PHARYNX
42960,CONTROL THROAT BLEEDING
42961,CONTROL THROAT BLEEDING
42962,CONTROL THROAT BLEEDING
42970,CONTROL NOSE/THROAT BLEEDING
42971,CONTROL NOSE/THROAT BLEEDING
42972,CONTROL NOSE/THROAT BLEEDING
42999,PR THROAT SURGERY PROCEDURE UNLISTED
4300F,PR PT RECEIVE WARFARIN FOR NONVALVE A-FIB/A-FLUTTER
4301F,PR PT NOT RECEIVE WARFARIN FOR NONVALVE A-FIB/A-FLUTTER
43020,INCISION OF ESOPHAGUS
43030,PR CRICOPHAYNGEAL MYOTOMY
43045,INCISION OF ESOPHAGUS
4305F,PR PT ED APPROP FOOT CARE AND DAILY FEET INSPECTION RECEIVED
4306F,PR PT COUNSEL ABOUT PSYCHOSOCIAL AND PHARM OPTIONS OPIOID ADDICTION
43100,EXCISION OF ESOPHAGUS LESION
43101,ESOPHAGUS LESION/MASS/TUMOR EXCISION ABDOMINAL
